#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
resin                                             ([no block])                                                                     = Ê÷Ö¬
tree_oil                                          ([no block])                                                                     = Ê÷ÓÍ
seed_oil                                          ([no block])                                                                     = ÖÖ×ÓÓÍ
biocrude                                          ([no block])                                                                     = ÉúÎïÖÊÔ­ÓÍ
refined_biofuel                                   ([no block])                                                                     = Ş½Ïã¼î
mushroom_stew                                     ([no block])                                                                     = Ä¢¹½ìÒ
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
potion                                            ([no block])                                                                     = Ò©Ë®
potion_splash                                     ([no block])                                                                     = Åç½¦Ò©Ë®
potion_lingering                                  ([no block])                                                                     = ÖÍÁôÒ©Ë®
redstone                                          (thermalfoundation:fluid_redstone)                                               = ²»ÎÈ¶¨ºìÊ¯
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = ³äÄÜÒºÌ¬Ó«Ê¯
ender                                             (thermalfoundation:fluid_ender)                                                  = Ğ³ÕñÄ©Ó°ÕäÖé
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = ÁÒÑæÖ®³ãìÍ
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = ¼«º®Ö®Áİ±ù
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = ·ÉÑïÖ®Çå·ç
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = °å¿éÖ®²ãÑÒ
mana                                              (thermalfoundation:fluid_mana)                                                   = ÔªÊ¼Ä§Á¦
platinum                                          (tconstruct:molten_platinum)                                                     = ÈÛÈÚ²¬
iridium                                           (tconstruct:molten_iridium)                                                      = ÈÛÈÚÒ¿
invar                                             (tconstruct:molten_invar)                                                        = ÈÛÈÚÒó¸Ö
constantan                                        (immersiveengineering:molten_constantan)                                         = ÈÛÈÚ¿µÍ­
signalum                                          (tconstruct:molten_signalum)                                                     = ÈÛÈÚĞÅËØ
lumium                                            (tconstruct:molten_lumium)                                                       = ÈÛÈÚÁ÷Ã÷
enderium                                          (tconstruct:molten_enderium)                                                     = ÈÛÈÚÄ©Ó°
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ÈÛÈÚ³äÄÜºÏ½ğ
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ÈÛÈÚÂö³åºÏ½ğ
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ÈÛÈÚºìÊ¯ºÏ½ğ
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ÈÛÈÚµ¼µçÌú
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ÈÛÈÚ³äÄÜÌú
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ÈÛÈÚĞş¸Ö
soularium                                         (enderio:block_fluid_soularium)                                                  = ÈÛÈÚ»ê½ğ
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ÈÛÈÚÄ©Ó°¸Ö
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = ÈÛÈÚÌúºÏ½ğ
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = ÈÛÈÚ´Ö¸Ö
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = ÈÛÈÚ¾§»¯ºÏ½ğ
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = ÈÛÈÚĞıÂÉºÏ½ğ
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = ÈÛÈÚºãĞÇºÏ½ğ
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = ÈÛÈÚ¾§»¯·ÛºìÕ³Òº
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = ÈÛÈÚ³äÄÜÒø
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = ÈÛÈÚÉú¶¯ºÏ½ğ
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = ÒÒ´¼
biomass                                           (forestry:fluid.biomass)                                                         = ÉúÎïÖÊ
glass                                             (forestry:fluid.glass)                                                           = ÒºÌ¬²£Á§
for.honey                                         (forestry:fluid.for.honey)                                                       = ·äÃÛ
ice                                               (forestry:fluid.ice)                                                             = Ëé±ù
juice                                             (forestry:fluid.juice)                                                           = ¹ûÖ­
milk                                              (forestry:fluid.milk)                                                            = Å£ÄÌ
seed.oil                                          (forestry:fluid.seed.oil)                                                        = ÖÖ×ÓÓÍ
short.mead                                        (forestry:fluid.short.mead)                                                      = ·äÃÛ¾Æ
essence                                           (industrialforegoing:essence)                                                    = ¾«»ªÒº
meat                                              (industrialforegoing:meat)                                                       = ÈâÌÀ
latex                                             (industrialforegoing:latex)                                                      = ½ºÈé
sewage                                            (industrialforegoing:sewage)                                                     = ÎÛË®
sludge                                            (industrialforegoing:sludge)                                                     = ÎÛÄà
biofuel                                           (industrialforegoing:biofuel)                                                    = ÉúÎïÈ¼ÓÍ
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = ·ÛºìÕ³Òº
if.protein                                        (industrialforegoing:if.protein)                                                 = µ°°×ÖÊ
if.ore_fluid_raw                                  ([no block])                                                                     = Éú¿óÎïÈâÌÀ
if.ore_fluid_fermented                            ([no block])                                                                     = ·¢½Í¿óÎïÈâÌÀ
alumite                                           (plustic:plustic.molten_alumite)                                                 = ÈÛÈÚÄÍËáÂÁ
osmium                                            (plustic:plustic.molten_osmium)                                                  = ÈÛÈÚï°
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Ç¿»¯Ó«Ê¯
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = ÈÛÈÚï°Ó«ºÚê×ºÏ½ğ
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = ÈÛÈÚÒ¿ï°ºÏ½ğ
infinity                                          (plustic:plustic.molten_infinity)                                                = ÈÛÈÚÎŞ¾¡
xu_evil_metal                                     ([no block])                                                                     = ¶ñÄ§¹à×¢Ìú
xu_enchanted_metal                                ([no block])                                                                     = ¸½Ä§½ğÊô
xu_demonic_metal                                  ([no block])                                                                     = ÈÛÈÚ¶ñÄ§½ğÊô
mutagen                                           (gendustry:mutagen)                                                              = ÓÕ±ä¼Á
liquiddna                                         (gendustry:liquiddna)                                                            = ÒºÌ¬»ùÒò
protein                                           (gendustry:protein)                                                              = µ°°×ÖÊ
oxygen                                            (nuclearcraft:fluid_oxygen)                                                      = ÑõÆø
hydrogen                                          (nuclearcraft:fluid_hydrogen)                                                    = Çâ
deuterium                                         (nuclearcraft:fluid_deuterium)                                                   = ë®
tritium                                           (nuclearcraft:fluid_tritium)                                                     = ë°
helium3                                           (nuclearcraft:fluid_helium3)                                                     = º¤-3
helium                                            (nuclearcraft:fluid_helium)                                                      = º¤Æø
boron                                             (nuclearcraft:fluid_boron)                                                       = ÈÛÈÚÅğ
boron10                                           (nuclearcraft:fluid_boron10)                                                     = ÈÛÈÚÅğ-10
boron11                                           (nuclearcraft:fluid_boron11)                                                     = ÈÛÈÚÅğ-11
lithium                                           (nuclearcraft:fluid_lithium)                                                     = ÈÛÈÚï®
lithium6                                          (nuclearcraft:fluid_lithium6)                                                    = ÈÛÈÚï®-6
lithium7                                          (nuclearcraft:fluid_lithium7)                                                    = ÈÛÈÚï®-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = ÈÛÈÚÅğÌúºÏ½ğ
tough                                             (nuclearcraft:fluid_tough)                                                       = ÈÛÈÚ¸ßÇ¿ºÏ½ğ
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = ÈÛÈÚÓ²Ì¼
beryllium                                         (nuclearcraft:fluid_beryllium)                                                   = ÈÛÈÚîë
manganese                                         (nuclearcraft:fluid_manganese)                                                   = ÈÛÈÚÃÌ
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = ÈÛÈÚ¶şÑõ»¯ÃÌ
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = ÈÛÈÚÁò
arsenic                                           (nuclearcraft:fluid_arsenic)                                                     = ÈÛÈÚÉé
liquidhelium                                      (nuclearcraft:fluid_liquidhelium)                                                = Òºº¤
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Òºµª
plasma                                            (nuclearcraft:fluid_plasma)                                                      = µÈÀë×ÓÌå
neutron                                           (nuclearcraft:fluid_neutron)                                                     = ÖĞ×ÓÁ÷Ìå
ethanol                                           (nuclearcraft:fluid_ethanol)                                                     = ÒÒ´¼
methanol                                          (nuclearcraft:fluid_methanol)                                                    = ¼×´¼
radaway                                           (nuclearcraft:fluid_radaway)                                                     = ·øÉäÄşÁ÷Ìå
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = »ºĞ§·øÉäÄşÁ÷Ìå
nitrogen                                          (nuclearcraft:fluid_nitrogen)                                                    = µªÆø
fluorine                                          (nuclearcraft:fluid_fluorine)                                                    = ·ú
carbon_dioxide                                    (nuclearcraft:fluid_carbon_dioxide)                                              = ¶şÑõ»¯Ì¼
carbon_monoxide                                   (nuclearcraft:fluid_carbon_monoxide)                                             = Ò»Ñõ»¯Ì¼
ethene                                            (nuclearcraft:fluid_ethene)                                                      = ÒÒÏ©
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = ·ú´ú¼×Íé
ammonia                                           (nuclearcraft:fluid_ammonia)                                                     = °±Æø
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = ¶ş·ú»¯Ñõ
diborane                                          (nuclearcraft:fluid_diborane)                                                    = ÒÒÅğÍé
sulfur_dioxide                                    (nuclearcraft:fluid_sulfur_dioxide)                                              = ¶şÑõ»¯Áò
sulfur_trioxide                                   (nuclearcraft:fluid_sulfur_trioxide)                                             = ÈıÑõ»¯Áò
hydrofluoric_acid                                 (nuclearcraft:fluid_hydrofluoric_acid)                                           = Çâ·úËá
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = ÅğËá
sulfuric_acid                                     (nuclearcraft:fluid_sulfuric_acid)                                               = ÁòËá
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = µª»¯ÅğÈÜÒº
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = ·ú»¯¸ÆÈÜÒº
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = ÁòËá¸ÆÈÜÒº
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = ·ú»¯ÄÆÈÜÒº
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = ·ú»¯¼ØÈÜÒº
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = ÇâÑõ»¯ÄÆÈÜÒº
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = ÇâÑõ»¯¼ØÈÜÒº
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = ÅğÉ°ÈÜÒº
corium                                            (nuclearcraft:fluid_corium)                                                      = ¶ÑĞ¾ÈÛÈÚÎï
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = ¿É¿É½¬
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = ¿É¿ÉÖ¬
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = ÈÛÈÚÎŞÌÇÇÉ¿ËÁ¦
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = ÈÛÈÚºÚÇÉ¿ËÁ¦
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = ÈÛÈÚÅ£ÄÌÇÉ¿ËÁ¦
sugar                                             (nuclearcraft:fluid_sugar)                                                       = ÌÇÒº
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = ÈÛÈÚÃ÷½º
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = Ë®ºÏÃ÷½º
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = ÒºÌ¬ÃŞ»¨ÌÇ
lif                                               (nuclearcraft:fluid_lif)                                                         = ÈÛÈÚ·ú»¯ï®
bef2                                              (nuclearcraft:fluid_bef2)                                                        = ÈÛÈÚ·ú»¯îë
flibe                                             (nuclearcraft:fluid_flibe)                                                       = ÈÛÈÚ·úï®îëÑÎ»ìºÏÎï
naoh                                              (nuclearcraft:fluid_naoh)                                                        = ÈÛÈÚÇâÑõ»¯ÄÆ
koh                                               (nuclearcraft:fluid_koh)                                                         = ÈÛÈÚÇâÑõ»¯¼Ø
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = ¸ßÑ¹ÕôÆû
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = ·ÏÕôÆû
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = µÍÑ¹ÕôÆû
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = µÍÖÊÕôÆû
preheated_water                                   (nuclearcraft:fluid_preheated_water)                                             = Ô¤ÈÈË®
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = ÀäÄıË®
sodium                                            (nuclearcraft:fluid_sodium)                                                      = ÈÛÈÚÄÆ
potassium                                         (nuclearcraft:fluid_potassium)                                                   = ÈÛÈÚ¼Ø
nak                                               (nuclearcraft:fluid_nak)                                                         = ¹²¾§ÄÆ¼ØºÏ½ğ
nak_hot                                           (nuclearcraft:fluid_nak_hot)                                                     = ÈÈ¹²¾§ÄÆ¼ØºÏ½ğ
bas                                               (nuclearcraft:fluid_bas)                                                         = ÈÛÈÚÉé»¯Åğ
sic_vapor                                         (nuclearcraft:fluid_sic_vapor)                                                   = Ì¼»¯¹èÕôÆø
alugentum                                         (nuclearcraft:fluid_alugentum)                                                   = ÈÛÈÚAlugentum
alumina                                           (nuclearcraft:fluid_alumina)                                                     = ÈÛÈÚÑõ»¯ÂÁ
thorium                                           (tconstruct:molten_thorium)                                                      = ÈÛÈÚîÊ
thorium_fluoride                                  ([no block])                                                                     = ÈÛÈÚ·ú»¯îÊ
thorium_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îÊ
uranium                                           (immersiveengineering:molten_uranium)                                            = ÈÛÈÚÓË
uranium_fluoride                                  ([no block])                                                                     = ÈÛÈÚ·ú»¯ÓË
uranium_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ÓË
plutonium                                         ([no block])                                                                     = ÈÛÈÚîĞ
plutonium_fluoride                                ([no block])                                                                     = ÈÛÈÚ·ú»¯îĞ
plutonium_fluoride_flibe                          ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îĞ
thorium_230                                       ([no block])                                                                     = ÈÛÈÚîÊ-230
thorium_230_fluoride                              ([no block])                                                                     = ÈÛÈÚ·ú»¯îÊ-230
thorium_230_fluoride_flibe                        ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îÊ-230
uranium_233                                       ([no block])                                                                     = ÈÛÈÚÓË-233
uranium_233_fluoride                              ([no block])                                                                     = ÈÛÈÚ·ú»¯ÓË-233
uranium_233_fluoride_flibe                        ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ÓË-233
uranium_235                                       ([no block])                                                                     = ÈÛÈÚÓË-235
uranium_235_fluoride                              ([no block])                                                                     = ÈÛÈÚ·ú»¯ÓË-235
uranium_235_fluoride_flibe                        ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ÓË-235
uranium_238                                       ([no block])                                                                     = ÈÛÈÚÓË-238
uranium_238_fluoride                              ([no block])                                                                     = ÈÛÈÚ·ú»¯ÓË-238
uranium_238_fluoride_flibe                        ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ÓË-238
neptunium_236                                     ([no block])                                                                     = ÈÛÈÚïÕ-236
neptunium_236_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÕ-236
neptunium_236_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÕ-236
neptunium_237                                     ([no block])                                                                     = ÈÛÈÚïÕ-237
neptunium_237_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÕ-237
neptunium_237_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÕ-237
plutonium_238                                     ([no block])                                                                     = ÈÛÈÚîĞ-238
plutonium_238_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯îĞ-238
plutonium_238_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îĞ-238
plutonium_239                                     ([no block])                                                                     = ÈÛÈÚîĞ-239
plutonium_239_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯îĞ-239
plutonium_239_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îĞ-239
plutonium_241                                     ([no block])                                                                     = ÈÛÈÚîĞ-241
plutonium_241_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯îĞ-241
plutonium_241_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îĞ-241
plutonium_242                                     ([no block])                                                                     = ÈÛÈÚîĞ-242
plutonium_242_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯îĞ-242
plutonium_242_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯îĞ-242
americium_241                                     ([no block])                                                                     = ÈÛÈÚïÑ-241
americium_241_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÑ-241
americium_241_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÑ-241
americium_242                                     ([no block])                                                                     = ÈÛÈÚïÑ-242
americium_242_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÑ-242
americium_242_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÑ-242
americium_243                                     ([no block])                                                                     = ÈÛÈÚïÑ-243
americium_243_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÑ-243
americium_243_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÑ-243
curium_243                                        ([no block])                                                                     = ÈÛÈÚï¸-243
curium_243_fluoride                               ([no block])                                                                     = ÈÛÈÚ·ú»¯ï¸-243
curium_243_fluoride_flibe                         ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï¸-243
curium_245                                        ([no block])                                                                     = ÈÛÈÚï¸-245
curium_245_fluoride                               ([no block])                                                                     = ÈÛÈÚ·ú»¯ï¸-245
curium_245_fluoride_flibe                         ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï¸-245
curium_246                                        ([no block])                                                                     = ÈÛÈÚï¸-246
curium_246_fluoride                               ([no block])                                                                     = ÈÛÈÚ·ú»¯ï¸-246
curium_246_fluoride_flibe                         ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï¸-246
curium_247                                        ([no block])                                                                     = ÈÛÈÚï¸-247
curium_247_fluoride                               ([no block])                                                                     = ÈÛÈÚ·ú»¯ï¸-247
curium_247_fluoride_flibe                         ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï¸-247
berkelium_247                                     ([no block])                                                                     = ÈÛÈÚïÂ-247
berkelium_247_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÂ-247
berkelium_247_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÂ-247
berkelium_248                                     ([no block])                                                                     = ÈÛÈÚïÂ-248
berkelium_248_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯ïÂ-248
berkelium_248_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ïÂ-248
californium_249                                   ([no block])                                                                     = ÈÛÈÚï´-249
californium_249_fluoride                          ([no block])                                                                     = ÈÛÈÚ·ú»¯ï´-249
californium_249_fluoride_flibe                    ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï´-249
californium_250                                   ([no block])                                                                     = ÈÛÈÚï´-250
californium_250_fluoride                          ([no block])                                                                     = ÈÛÈÚ·ú»¯ï´-250
californium_250_fluoride_flibe                    ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï´-250
californium_251                                   ([no block])                                                                     = ÈÛÈÚï´-251
californium_251_fluoride                          ([no block])                                                                     = ÈÛÈÚ·ú»¯ï´-251
californium_251_fluoride_flibe                    ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï´-251
californium_252                                   ([no block])                                                                     = ÈÛÈÚï´-252
californium_252_fluoride                          ([no block])                                                                     = ÈÛÈÚ·ú»¯ï´-252
californium_252_fluoride_flibe                    ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯ï´-252
fuel_tbu                                          ([no block])                                                                     = ÈÛÈÚTBUÈ¼ÁÏ
fuel_tbu_fluoride                                 ([no block])                                                                     = ÈÛÈÚ·ú»¯TBUÈ¼ÁÏ
fuel_tbu_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-·ú»¯TBUÈ¼ÁÏ
fuel_leu_233                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-233È¼ÁÏ
fuel_leu_233_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõÓË-233È¼ÁÏ
fuel_leu_233_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ÓË-233È¼ÁÏ
fuel_heu_233                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-233È¼ÁÏ
fuel_heu_233_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõÓË-233È¼ÁÏ
fuel_heu_233_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ÓË-233È¼ÁÏ
fuel_leu_235                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-235È¼ÁÏ
fuel_leu_235_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõÓË-235È¼ÁÏ
fuel_leu_235_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ÓË-235È¼ÁÏ
fuel_heu_235                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-235È¼ÁÏ
fuel_heu_235_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõÓË-235È¼ÁÏ
fuel_heu_235_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ÓË-235È¼ÁÏ
fuel_len_236                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÕ-236È¼ÁÏ
